time,X,Y,Z
2021-09-15 04:28:30,4462996.16620362,14691275.897637153,21495025.182900973
2021-09-15 04:29:00,4380631.105015898,14702800.788743185,21504490.929395992
2021-09-15 04:29:30,4298252.511629278,14714470.327624863,21513538.201964747
2021-09-15 04:30:00,4215862.230394358,14726284.409085326,21522166.840414245
2021-09-15 04:30:30,4133462.10525403,14738242.917843185,21530376.692837067
2021-09-15 04:31:00,4051053.9796708017,14750345.728536425,21538167.61561327
2021-09-15 04:31:30,3968639.696554085,14762592.705726806,21545539.473411974
2021-09-15 04:32:00,3886221.098187617,14774983.70390473,21552492.139192875
2021-09-15 04:32:30,3803800.0261568734,14787518.5674946,21559025.494207527
2021-09-15 04:33:00,3721378.3212765,14800197.13086057,21565139.42800045
2021-09-15 04:33:30,3638957.8235178264,14813019.218312878,21570833.83841008
2021-09-15 04:34:00,3556540.3719364544,14825984.644114524,21576108.631569497
2021-09-15 04:34:30,3474127.804599857,14839093.212488508,21580963.721907042
2021-09-15 04:35:00,3391721.958515013,14852344.71762547,21585399.032146692
2021-09-15 04:35:30,3309324.6695562415,14865738.943691844,21589414.49330826
2021-09-15 04:36:00,3226937.7723928653,14879275.664838444,21593010.044707503
2021-09-15 04:36:30,3144563.1004172154,14892954.645209525,21596185.633955907
2021-09-15 04:37:00,3062202.4856724404,14906775.638952313,21598941.216960426
2021-09-15 04:37:30,2979857.758780624,14920738.390226994,21601276.757922966
2021-09-15 04:38:00,2897530.748870815,14934842.633217147,21603192.229339726
2021-09-15 04:38:30,2815223.2835072223,14949088.092140682,21604687.61200032
2021-09-15 04:39:00,2732937.188617451,14963474.481261203,21605762.89498681
2021-09-15 04:39:30,2650674.2884208383,14978001.50489984,21606418.075672418
2021-09-15 04:40:00,2568436.4053569287,14992668.85744755,21606653.159720227
2021-09-15 04:40:30,2486225.3600139422,15007476.223377865,21606468.16108156
2021-09-15 04:41:00,2404042.9710574257,15022423.277260112,21605863.10199428
2021-09-15 04:41:30,2321891.055158983,15037509.683773093,21604838.012980856
2021-09-15 04:42:00,2239771.4269250613,15052735.0977192,21603392.932846297
2021-09-15 04:42:30,2157685.898825917,15068099.164038992,21601527.908675835
2021-09-15 04:43:00,2075636.2811246463,15083601.517826283,21599242.99583254
2021-09-15 04:43:30,1993624.3818063324,15099241.784343584,21596538.257954665
2021-09-15 04:44:00,1911652.0065073154,15115019.579038084,21593413.766952846
2021-09-15 04:44:30,1829720.9584445565,15130934.507558059,21589869.60300716
2021-09-15 06:00:00,-17246804.58321482,11592034.549273733,16466192.626420002
2021-09-15 06:00:30,-17310197.267388728,11586523.463227049,16404533.803052826
2021-09-15 06:01:00,-17373363.536923494,11581121.683152525,16342559.237240326
2021-09-15 06:01:30,-17436302.027661122,11575828.310550053,16280270.145668276
2021-09-15 06:02:00,-17499011.3828966,11570642.439404178,16217667.750921154
2021-09-15 06:02:30,-17561490.25342913,11565563.156230003,16154753.28145644
2021-09-15 06:03:00,-17623737.29761306,11560589.54011949,16091527.971578866
2021-09-15 06:03:30,-17685751.18140843,11555720.662788041,16027993.061414544
2021-09-15 06:04:00,-17747530.578431163,11550955.588621449,15964149.796885062
2021-09-15 06:04:30,-17809074.170002997,11546293.374723075,15899999.42968132
2021-09-15 06:05:00,-17870380.645201065,11541733.070961481,15835543.217237443
2021-09-15 06:05:30,-17931448.70090707,11537273.72001825,15770782.422704495
2021-09-15 06:06:00,-17992277.041856173,11532914.357436223,15705718.314924136
2021-09-15 06:06:30,-18052864.38068559,11528654.011667956,15640352.168402119
2021-09-15 06:07:00,-18113209.43798272,11524491.704124562,15574685.26328179
2021-09-15 06:07:30,-18173310.942333046,11520426.449224811,15508718.885317385
2021-09-15 06:08:00,-18233167.630367596,11516457.254444586,15442454.325847343
