time,X,Y,Z
2021-09-15 05:48:30,13272478.235038426,8394156.852310125,21273054.85191411
2021-09-15 05:49:00,13250218.958606286,8473243.216713,21256177.15048724
2021-09-15 05:49:30,13228111.95507023,8552302.77562165,21238886.997550905
2021-09-15 05:50:00,13206157.44062861,8631333.715856427,21221184.751519967
2021-09-15 05:50:30,13184355.62133375,8710334.22394485,21203070.778870508
2021-09-15 05:51:00,13162706.693087671,8789302.486193402,21184545.454130664
2021-09-15 05:51:30,13141210.841638306,8868236.688759338,21165609.159871288
2021-09-15 05:52:00,13119868.242576214,8947135.017722385,21146262.286696408
2021-09-15 05:52:30,13098679.061331678,9025995.659156593,21126505.233233567
2021-09-15 05:53:00,13077643.453172373,9104816.799202029,21106338.40612395
2021-09-15 05:53:30,13056761.5632014,9183596.624136623,21085762.22001239
2021-09-15 05:54:00,13036033.5263559,9262333.320447814,21064777.097537182
2021-09-15 05:54:30,13015459.467406033,9341025.074904364,21043383.469319735
2021-09-15 05:55:00,12995039.500954472,9419670.074628029,21021581.773954056
2021-09-15 05:55:30,12974773.731436381,9498266.507165277,20999372.457996096
2021-09-15 05:56:00,12954662.253119834,9576812.56055893,20976755.975952897
2021-09-15 05:56:30,12934705.1501067,9655306.423419809,20953732.790271603
2021-09-15 05:57:00,12914902.496334018,9733746.28499835,20930303.371328287
2021-09-15 05:57:30,12895254.3555758,9812130.335256217,20906468.197416637
2021-09-15 05:58:00,12875760.781445358,9890456.764937744,20882227.754736457
2021-09-15 05:58:30,12856421.817398053,9968723.765641501,20857582.537382036
2021-09-15 05:59:00,12837237.496734498,10046929.529891744,20832533.047330316
2021-09-15 05:59:30,12818207.842604298,10125072.251209805,20807079.79442895
2021-09-15 06:00:00,12799332.868010161,10203150.124185447,20781223.296384126
2021-09-15 06:00:30,12780612.575812552,10281161.34454816,20754964.078748334
2021-09-15 06:01:00,12762046.958734794,10359104.109238433,20728302.674907874
2021-09-15 06:01:30,12743635.999368563,10436976.616478916,20701239.626070254
2021-09-15 06:02:00,12725379.670179963,10514777.065845553,20673775.481251437
2021-09-15 06:02:30,12707277.933516005,10592503.658338632,20645910.79726291
2021-09-15 06:03:00,12689330.741611492,10670154.596453778,20617646.13869857
2021-09-15 06:03:30,12671538.036596484,10747728.084252886,20588982.077921536
2021-09-15 06:04:00,12653899.75050416,10825222.327434922,20559919.195050724
2021-09-15 06:04:30,12636415.805279117,10902635.533406708,20530458.077947255
2021-09-15 06:05:00,12619086.112786172,10979965.911353666,20500599.32220083
2021-09-15 06:05:30,12601910.574819645,11057211.672310246,20470343.531115796
2021-09-15 06:06:00,12584889.083113004,11134371.02923064,20439691.31569713
2021-09-15 06:06:30,12568021.5193491,11211442.19705905,20408643.2946363
2021-09-15 06:07:00,12551307.75517076,11288423.392800085,20377200.094296914
2021-09-15 06:07:30,12534747.652191874,11365312.835588943,20345362.348700214
2021-09-15 06:08:00,12518341.062008947,11442108.746761598,20313130.699510496
2021-09-15 06:08:30,12502087.826213114,11518809.349924732,20280505.79602027
2021-09-15 06:09:00,12485987.776402527,11595412.871025752,20247488.29513534
2021-09-15 06:09:30,12470040.734195367,11671917.538422544,20214078.861359708
2021-09-15 06:10:00,12454246.511243112,11748321.582953166,20180278.166780338
2021-09-15 06:10:30,12438604.909244422,11824623.238005439,20146086.891051743
2021-09-15 06:11:00,12423115.71995937,11900820.739586418,20111505.72138046
2021-09-15 06:11:30,12407778.725224175,11976912.32639171,20076535.352509342
2021-09-15 06:12:00,12392593.69696638,12052896.239874713,20041176.48670173
2021-09-15 06:12:30,12377560.397220476,12128770.724315682,20005429.83372543
2021-09-15 06:13:00,12362678.578143947,12204534.026890706,19969296.11083662
2021-09-15 06:13:30,12347947.982033823,12280184.39774052,19932776.042763513
